,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
35,2023-01-02 13:00:00,add_circle_outline,"12.4 °C
11.3 → 12.4",,0 mm/1h,"14 km/h
raf.22.7",75%,292 ,8.1 °C,1022.3hPa,35 km
36,2023-01-02 12:00:00,add_circle_outline,"11.4 °C
10.3 → 11.5",,0 mm/1h,"14 km/h
raf.21.2",79%,236 ,7.9 °C,1021.9hPa,35 km
37,2023-01-02 11:00:00,add_circle_outline,"10.3 °C
8.5 → 10.3",,0 mm/1h,"11 km/h
raf.20.5",88%,153 ,8.4 °C,1021.3hPa,35 km
38,2023-01-02 10:00:00,add_circle_outline,"8.5 °C
7.3 → 8.5",,0 mm/1h,"11 km/h
raf.18.4",97%,"6.6

36 ",8.1 °C,1020.1hPa,19 km
39,2023-01-02 09:00:00,add_circle_outline,"7.9 °C
7.5 → 7.9",,0 mm/1h,"7 km/h
raf.14.4",98%,6.7,7.6 °C,1019.2hPa,35 km
40,2023-01-02 08:00:00,add_circle_outline,"7.8 °C
7.8 → 8.5",,0 mm/1h,"11 km/h
raf.13",97%,5.8,7.4 °C,1017.9hPa,45 km
41,2023-01-02 07:00:00,add_circle_outline,"8.5 °C
8.4 → 8.7",,0 mm/1h,"11 km/h
raf.14",97%,6.6,8.1 °C,1016.8hPa,40 km
42,2023-01-02 06:00:00,add_circle_outline,"8.7 °C
8.7 → 8.9",,0 mm/1h,"11 km/h
raf.16.9",97%,6.9,8.2 °C,1016.6hPa,50 km
43,2023-01-02 05:00:00,add_circle_outline,"8.8 °C
8.8 → 9.3",,0 mm/1h,"11 km/h
raf.18",95%,7,8 °C,1015.7hPa,55 km
44,2023-01-02 04:00:00,add_circle_outline,"9.3 °C
9.2 → 9.3",,0 mm/1h,"11 km/h
raf.16.6",93%,7.6,8.2 °C,1015.2hPa,55 km
45,2023-01-02 03:00:00,add_circle_outline,"9.2 °C
9.2 → 9.4",,0 mm/1h,"11 km/h
raf.16.6",93%,7.5,8.1 °C,1014.5hPa,60 km
46,2023-01-02 02:00:00,add_circle_outline,"9.5 °C
9.5 → 9.7",,0 mm/1h,"11 km/h
raf.16.9",93%,7.8,8.4 °C,1014.2hPa,55 km
47,2023-01-02 01:00:00,add_circle_outline,"9.6 °C
9.5 → 9.7",,0 mm/1h,"11 km/h
raf.16.9",94%,7.9,8.7 °C,1014.0hPa,60 km
48,2023-01-03 00:00:00,add_circle_outline,"12.4 °C
12.2 → 12.4",,0 mm/1h,"22 km/h

raf.38.5",96%,,11.8 °C,1025.2hPa,4.9 km
49,2023-01-03 23:00:00,add_circle_outline,"12.2 °C
11.7 → 12.2",,0.2 mm/1h,"25 km/h

raf.44.6",96%,,11.6 °C,"1025.4hPa

=",4.9 km
50,2023-01-03 22:00:00,add_circle_outline,"11.7 °C
11.5 → 11.7",,0 mm/1h,"22 km/h

raf.39.6",97%,,11.2 °C,1025.3hPa,4.3 km
51,2023-01-03 21:00:00,add_circle_outline,"11.5 °C
11.3 → 11.5",,0.2 mm/1h,"29 km/h

raf.48.6",95%,,10.7 °C,1025.3hPa,6 km
52,2023-01-03 20:00:00,add_circle_outline,"11.3 °C
11.2 → 11.6",,0.4 mm/1h,"29 km/h

raf.48.2",94%,,10.4 °C,1025.4hPa,10 km
53,2023-01-03 19:00:00,add_circle_outline,"11.6 °C
11.5 → 11.9",,0 mm/1h,"25 km/h

raf.46.8",88%,,9.7 °C,1025.4hPa,19 km
54,2023-01-03 18:00:00,add_circle_outline,"11.9 °C
11.8 → 12.1",,0 mm/1h,"25 km/h

raf.47.5",81%,,8.7 °C,1025.4hPa,30 km
55,2023-01-03 17:00:00,add_circle_outline,"11.9 °C
11.9 → 12.4",,0 mm/1h,"29 km/h

raf.52.9",78%,8 ,8.2 °C,1025.5hPa,18 km
