,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
4615,2023-07-12 17:00:00,add_circle_outline,"23.3 °C
23.1 → 24.2",,0 mm/1h,"18 km/h

raf.32",38%,"23.8

406 ",8.2 °C,1017.3hPa,30 km
4616,2023-07-12 16:00:00,add_circle_outline,"24.6 °C
22.3 → 24.6",,0 mm/1h,"14 km/h

raf.33.1",39%,"25.7

669 ",9.7 °C,1017.3hPa,35 km
4617,2023-07-12 15:00:00,add_circle_outline,"22.7 °C
21.7 → 23.6",,0 mm/1h,"11 km/h
raf.29.5",43%,"23.7

764 ",9.5 °C,1017.4hPa,35 km
4618,2023-07-12 14:00:00,add_circle_outline,"21.8 °C
20.9 → 22.9",,0 mm/1h,"14 km/h

raf.32",47%,"23.1

761 ",10 °C,1017.6hPa,27 km
4619,2023-07-12 13:00:00,add_circle_outline,"21.4 °C
19.7 → 21.8",,0 mm/1h,"18 km/h

raf.31.3",48%,"22.6

700 ",9.9 °C,1017.6hPa,45 km
4620,2023-07-12 12:00:00,add_circle_outline,"19.8 °C
18.7 → 20.3",,0 mm/1h,"18 km/h

raf.30.2",56%,672 ,10.8 °C,1017.9hPa,45 km
4621,2023-07-12 11:00:00,add_circle_outline,"18.6 °C
17 → 18.6",,0 mm/1h,"14 km/h

raf.33.8",69%,614 ,12.8 °C,1018.1hPa,30 km
4622,2023-07-12 10:00:00,add_circle_outline,"17.1 °C
15.9 → 17.1",,0 mm/1h,"14 km/h
raf.25.9",76%,417 ,12.8 °C,1017.9hPa,35 km
4623,2023-07-12 09:00:00,add_circle_outline,"16.0 °C
14.4 → 16.1",,0 mm/1h,"11 km/h
raf.19.4",86%,275 ,13.7 °C,1017.5hPa,35 km
4624,2023-07-12 08:00:00,add_circle_outline,"14.4 °C
12.9 → 14.4",,0 mm/1h,"11 km/h
raf.13.7",94%,117 ,13.4 °C,1017.0hPa,14 km
4625,2023-07-12 07:00:00,add_circle_outline,"12.9 °C
12.3 → 12.9",,0 mm/1h,"7 km/h
raf.14.8",97%,11 ,12.4 °C,1016.6hPa,13 km
4626,2023-07-12 06:00:00,add_circle_outline,"12.3 °C
12.3 → 13",,0 mm/1h,"7 km/h
raf.12.2",97%,,11.8 °C,1016.2hPa,12 km
4627,2023-07-12 05:00:00,add_circle_outline,"13.0 °C
12.8 → 13.8",,0.2 mm/1h,"4 km/h
raf.12.2",98%,,12.7 °C,1015.9hPa,2.6 km
4628,2023-07-12 04:00:00,add_circle_outline,"13.9 °C
13.8 → 14.4",,0 mm/1h,"7 km/h
raf.16.9",95%,,13.1 °C,1015.9hPa,22 km
4629,2023-07-12 03:00:00,add_circle_outline,"14.3 °C
14.3 → 14.8",,0 mm/1h,"11 km/h
raf.20.5",93%,,13.2 °C,1015.7hPa,24 km
4630,2023-07-12 02:00:00,add_circle_outline,"14.7 °C
14.6 → 15.3",,0 mm/1h,"11 km/h
raf.17.6",93%,,13.6 °C,1015.7hPa,26 km
4631,2023-07-13 01:00:00,add_circle_outline,"17.9 °C
17.9 → 18.5",,0 mm/1h,"7 km/h
raf.14",68%,,11.9 °C,1018.5hPa,40 km
4632,2023-07-13 00:00:00,add_circle_outline,"18.4 °C
18.3 → 19.2",,0 mm/1h,"11 km/h
raf.12.6",65%,,11.7 °C,1019.0hPa,35 km
4633,2023-07-13 23:00:00,add_circle_outline,"19.1 °C
18.9 → 19.8",,0 mm/1h,"4 km/h
raf.10.1",65%,,12.4 °C,"1019.2hPa

=",35 km
4634,2023-07-13 22:00:00,add_circle_outline,"19.8 °C
19.8 → 21.5",,0 mm/1h,"7 km/h
raf.18",66%,6 ,13.3 °C,1019.3hPa,40 km
4635,2023-07-13 21:00:00,add_circle_outline,"21.5 °C
21.5 → 22.7",,0 mm/1h,"14 km/h
raf.22.7",52%,"23.3

78 ",11.2 °C,1019.1hPa,45 km
4636,2023-07-13 20:00:00,add_circle_outline,"22.7 °C
22.7 → 23.6",,0 mm/1h,"11 km/h
raf.25.6",48%,"24.5

197 ",11.1 °C,1019.1hPa,50 km
4637,2023-07-13 19:00:00,add_circle_outline,"23.7 °C
22.9 → 24.4",,0 mm/1h,"14 km/h
raf.29.9",47%,"25.8

319 ",11.7 °C,1019.4hPa,26 km
4638,2023-07-13 18:00:00,add_circle_outline,"24.1 °C
22.9 → 24.1",,0 mm/1h,"11 km/h
raf.25.6",45%,"26

356 ",11.4 °C,1020.0hPa,40 km
4639,2023-07-13 17:00:00,add_circle_outline,"23.2 °C
22.5 → 23.8",,0 mm/1h,"11 km/h

raf.31.3",46%,"24.9

433 ",10.9 °C,1020.3hPa,45 km
4640,2023-07-13 16:00:00,add_circle_outline,"23.1 °C
22.2 → 24",,0 mm/1h,"14 km/h

raf.30.2",46%,"24.7

586 ",10.8 °C,1020.6hPa,50 km
4641,2023-07-13 15:00:00,add_circle_outline,"22.7 °C
22.1 → 23.3",,0 mm/1h,"18 km/h

raf.31",46%,"24.2

519 ",10.5 °C,1020.8hPa,19 km
4642,2023-07-13 14:00:00,add_circle_outline,"22.5 °C
22.1 → 23.1",,0 mm/1h,"22 km/h

raf.32.8",46%,"23.9

550 ",10.3 °C,"1021.2hPa

=",35 km
4643,2023-07-13 13:00:00,add_circle_outline,"22.1 °C
20.7 → 23.2",,0 mm/1h,"18 km/h

raf.32",45%,"23.2

625 ",9.6 °C,1021.2hPa,29 km
4644,2023-07-13 12:00:00,add_circle_outline,"20.7 °C
20 → 21.8",,0 mm/1h,"11 km/h

raf.35.6",52%,"22.2

469 ",10.5 °C,1021.3hPa,35 km
4645,2023-07-13 11:00:00,add_circle_outline,"20.5 °C
17.2 → 20.5",,0 mm/1h,"14 km/h
raf.23",60%,"23

472 ",12.5 °C,1021.3hPa,35 km
4646,2023-07-13 10:00:00,add_circle_outline,"17.2 °C
16.3 → 17.2",,0 mm/1h,"7 km/h
raf.18",80%,153 ,13.7 °C,1021.5hPa,30 km
4647,2023-07-13 09:00:00,add_circle_outline,"16.2 °C
15.2 → 16.2",,0 mm/1h,"7 km/h
raf.14.4",84%,78 ,13.5 °C,1021.0hPa,30 km
4648,2023-07-13 08:00:00,add_circle_outline,"15.2 °C
14.7 → 15.2",,0 mm/1h,"7 km/h
raf.13.7",88%,19 ,13.2 °C,1020.6hPa,25 km
4649,2023-07-13 07:00:00,add_circle_outline,"14.7 °C
14.5 → 14.7",,0 mm/1h,"11 km/h
raf.14.4",89%,,12.9 °C,1020.1hPa,24 km
4650,2023-07-13 06:00:00,add_circle_outline,"14.5 °C
14.4 → 14.6",,0 mm/1h,"11 km/h
raf.15.8",89%,,12.7 °C,1019.7hPa,24 km
4651,2023-07-13 05:00:00,add_circle_outline,"14.4 °C
14 → 14.4",,0 mm/1h,"7 km/h
raf.12.6",89%,,12.6 °C,1019.6hPa,25 km
4652,2023-07-13 04:00:00,add_circle_outline,"14.0 °C
13.6 → 14",,0 mm/1h,"11 km/h
raf.13.3",89%,,12.2 °C,1019.8hPa,30 km
4653,2023-07-13 03:00:00,add_circle_outline,"13.6 °C
13.6 → 14.2",,0 mm/1h,"11 km/h
raf.11.5",87%,,11.5 °C,1019.7hPa,40 km
4654,2023-07-13 02:00:00,add_circle_outline,"14.1 °C
13.8 → 14.7",,0 mm/1h,"7 km/h
raf.11.9",82%,,11.1 °C,1019.8hPa,40 km
4655,2023-07-14 01:00:00,add_circle_outline,"15.8 °C
15.8 → 16.7",,0 mm/1h,"14 km/h
raf.27.7",90%,,14.2 °C,1007.7hPa,30 km
4656,2023-07-14 00:00:00,add_circle_outline,"16.7 °C
16.7 → 18.3",,0 mm/1h,"18 km/h

raf.34.9",87%,,14.5 °C,1007.5hPa,45 km
4657,2023-07-14 23:00:00,add_circle_outline,"18.3 °C
18.3 → 19.6",,0 mm/1h,"18 km/h

raf.34.9",87%,,16.1 °C,1006.9hPa,55 km
4658,2023-07-14 22:00:00,add_circle_outline,"19.7 °C
19.7 → 20.7",,0.2 mm/1h,"18 km/h

raf.39.6",89%,3 ,17.8 °C,1006.6hPa,55 km
4659,2023-07-14 21:00:00,add_circle_outline,"20.6 °C
20.6 → 20.8",,0.2 mm/1h,"22 km/h

raf.38.5",91%,"27.3

47 ",19.1 °C,1006.0hPa,25 km
4660,2023-07-14 20:00:00,add_circle_outline,"20.7 °C
20.5 → 20.8",,0 mm/1h,"22 km/h

raf.40.3",92%,"27.6

69 ",19.4 °C,1005.8hPa,10 km
4661,2023-07-14 19:00:00,add_circle_outline,"20.7 °C
20.6 → 21.3",,0.6 mm/1h,"22 km/h

raf.48.6",92%,"27.6

100 ",19.4 °C,1005.8hPa,16 km
4662,2023-07-14 18:00:00,add_circle_outline,"21.4 °C
20.5 → 24.6",,1.4 mm/1h,"29 km/h

raf.50",89%,"28.4

194 ",19.5 °C,1006.2hPa,7 km
4663,2023-07-14 17:00:00,add_circle_outline,"24.7 °C
24.7 → 27.3",,0 mm/1h,"36 km/h

raf.65.5",58%,"29.1

286 ",15.9 °C,1006.1hPa,18 km
4664,2023-07-14 16:00:00,add_circle_outline,"27.2 °C
24.3 → 27.2",,0 mm/1h,"40 km/h

raf.65.9",44%,"30.4

539 ",13.9 °C,1006.3hPa,16 km
4665,2023-07-14 15:00:00,add_circle_outline,"25.7 °C
25.7 → 27.8",,0 mm/1h,"40 km/h

raf.68.4",45%,"28.4

547 ",12.9 °C,1007.3hPa,14 km
4666,2023-07-14 14:00:00,add_circle_outline,"27.1 °C
26.3 → 28.6",,0 mm/1h,"40 km/h

raf.59.8",40%,"29.5

717 ",12.3 °C,1007.5hPa,17 km
4667,2023-07-14 13:00:00,add_circle_outline,"27.4 °C
24.9 → 27.4",,0 mm/1h,"36 km/h

raf.61.2",40%,"29.9

739 ",12.6 °C,1008.5hPa,22 km
4668,2023-07-14 12:00:00,add_circle_outline,"25.8 °C
23.6 → 25.8",,0 mm/1h,"36 km/h

raf.56.2",46%,"28.7

656 ",13.3 °C,1009.2hPa,30 km
4669,2023-07-14 11:00:00,add_circle_outline,"24.0 °C
21.2 → 24",,0 mm/1h,"29 km/h

raf.45.7",48%,"26.4

406 ",12.3 °C,1010.1hPa,35 km
4670,2023-07-14 10:00:00,add_circle_outline,"21.3 °C
18.5 → 21.3",,0 mm/1h,"22 km/h

raf.40.3",58%,"23.9

292 ",12.7 °C,1011.0hPa,35 km
4671,2023-07-14 09:00:00,add_circle_outline,"18.5 °C
16.8 → 18.5",,0 mm/1h,"18 km/h

raf.31.3",68%,150 ,12.5 °C,1011.5hPa,35 km
4672,2023-07-14 08:00:00,add_circle_outline,"16.8 °C
16.1 → 16.8",,0 mm/1h,"11 km/h
raf.18.7",79%,42 ,13.1 °C,1012.5hPa,30 km
4673,2023-07-14 07:00:00,add_circle_outline,"16.1 °C
16 → 16.4",,0 mm/1h,"7 km/h
raf.11.9",86%,,13.8 °C,1013.6hPa,30 km
4674,2023-07-14 06:00:00,add_circle_outline,"16.3 °C
16.1 → 16.4",,0 mm/1h,"7 km/h
raf.9.7",85%,,13.8 °C,1014.4hPa,30 km
4675,2023-07-14 05:00:00,add_circle_outline,"16.3 °C
16.3 → 16.8",,0 mm/1h,"7 km/h
raf.10.1",86%,,14 °C,1015.4hPa,30 km
4676,2023-07-14 04:00:00,add_circle_outline,"16.8 °C
16.3 → 16.9",,0 mm/1h,"7 km/h
raf.9.4",83%,,13.9 °C,1016.1hPa,27 km
4677,2023-07-14 03:00:00,add_circle_outline,"16.9 °C
16.8 → 17.3",,0.2 mm/1h,"0 km/h
raf.11.5",78%,,13 °C,1016.8hPa,23 km
4678,2023-07-14 02:00:00,add_circle_outline,"17.3 °C
17.2 → 17.9",,0 mm/1h,"11 km/h
raf.13.7",73%,,12.4 °C,1018.1hPa,40 km
4679,2023-07-15 01:00:00,add_circle_outline,"15.3 °C
15.3 → 16",,0 mm/1h,"18 km/h

raf.39.2",79%,,11.7 °C,1013.6hPa,14 km
4680,2023-07-15 00:00:00,add_circle_outline,"15.8 °C
15.8 → 16.3",,0 mm/1h,"22 km/h

raf.42.1",76%,,11.6 °C,1013.2hPa,14 km
4681,2023-07-15 23:00:00,add_circle_outline,"16.1 °C
16 → 16.6",,0 mm/1h,"14 km/h

raf.37.4",74%,,11.5 °C,1013.0hPa,14 km
4682,2023-07-15 22:00:00,add_circle_outline,"16.7 °C
16.7 → 18.9",,0 mm/1h,"22 km/h

raf.47.5",71%,33 ,11.4 °C,1012.3hPa,19 km
4683,2023-07-15 21:00:00,add_circle_outline,"18.7 °C
18.6 → 20.1",,0 mm/1h,"22 km/h

raf.54",60%,119 ,10.8 °C,1011.6hPa,27 km
4684,2023-07-15 20:00:00,add_circle_outline,"20.1 °C
20.1 → 21",,0 mm/1h,"29 km/h

raf.55.4",52%,"21.3

294 ",9.9 °C,1010.9hPa,19 km
4685,2023-07-15 19:00:00,add_circle_outline,"21.1 °C
20.6 → 22.3",,0 mm/1h,"32 km/h

raf.58.3",49%,"22.4

464 ",10 °C,1010.1hPa,10 km
4686,2023-07-15 18:00:00,add_circle_outline,"21.7 °C
21.6 → 22.9",,0 mm/1h,"32 km/h

raf.60.1",44%,"22.5

650 ",8.9 °C,1009.7hPa,8 km
4687,2023-07-15 17:00:00,add_circle_outline,"22.0 °C
21.4 → 23",,0 mm/1h,"32 km/h

raf.62.6",47%,"23.3

703 ",10.2 °C,1009.1hPa,10 km
4688,2023-07-15 16:00:00,add_circle_outline,"21.6 °C
21.1 → 23",,0 mm/1h,"32 km/h

raf.61.2",49%,"23

706 ",10.4 °C,1008.7hPa,7 km
4689,2023-07-15 15:00:00,add_circle_outline,"22.3 °C
21.2 → 22.9",,0 mm/1h,"32 km/h

raf.63.7",46%,"23.6

833 ",10.1 °C,1008.2hPa,6 km
4690,2023-07-15 14:00:00,add_circle_outline,"21.4 °C
20.4 → 21.7",,0 mm/1h,"32 km/h

raf.69.1",50%,"22.9

836 ",10.5 °C,1007.8hPa,4.5 km
4691,2023-07-15 13:00:00,add_circle_outline,"20.3 °C
17.3 → 20.9",,0.2 mm/1h,"25 km/h

raf.55.4",65%,"23.3

706 ",13.5 °C,1007.5hPa,4.6 km
4692,2023-07-15 12:00:00,add_circle_outline,"17.3 °C
17.2 → 20.3",,0.6 mm/1h,"18 km/h

raf.54.7",79%,364 ,13.6 °C,1007.1hPa,26 km
4693,2023-07-15 11:00:00,add_circle_outline,"19.4 °C
17.8 → 19.4",,0 mm/1h,"29 km/h

raf.43.9",76%,361 ,15.1 °C,1006.4hPa,30 km
4694,2023-07-15 10:00:00,add_circle_outline,"18.0 °C
16.4 → 18.5",,9.5 mm/1h,"18 km/h

raf.49.3",88%,186 ,16 °C,1006.4hPa,15 km
4695,2023-07-15 09:00:00,add_circle_outline,"18.5 °C
17.5 → 18.6",,0 mm/1h,"18 km/h

raf.31.7",85%,111 ,15.9 °C,1005.7hPa,19 km
4696,2023-07-15 08:00:00,add_circle_outline,"17.5 °C
16.7 → 17.5",,0 mm/1h,"18 km/h

raf.32.4",89%,69 ,15.7 °C,1005.7hPa,19 km
4697,2023-07-15 07:00:00,add_circle_outline,"16.6 °C
16.6 → 16.9",,0 mm/1h,"14 km/h

raf.34.6",92%,6 ,15.3 °C,1005.6hPa,24 km
4698,2023-07-15 06:00:00,add_circle_outline,"16.9 °C
16.1 → 16.9",,0 mm/1h,"18 km/h
raf.29.9",90%,,15.2 °C,1005.6hPa,10 km
4699,2023-07-15 05:00:00,add_circle_outline,"16.1 °C
16 → 16.3",,0 mm/1h,"14 km/h
raf.23.4",94%,,15.1 °C,1006.1hPa,19 km
4700,2023-07-15 04:00:00,add_circle_outline,"16.3 °C
16.2 → 16.6",,0.2 mm/1h,"14 km/h

raf.33.5",93%,,15.2 °C,1006.9hPa,24 km
4701,2023-07-15 03:00:00,add_circle_outline,"16.2 °C
15.9 → 16.4",,0.4 mm/1h,"11 km/h
raf.22.7",96%,,15.6 °C,1007.3hPa,1.9 km
4702,2023-07-15 02:00:00,add_circle_outline,"15.8 °C
15.5 → 15.9",,0 mm/1h,"14 km/h
raf.19.4",92%,,14.5 °C,1007.5hPa,30 km
4703,2023-07-16 01:00:00,add_circle_outline,"13.8 °C
13.7 → 14.8",,0 mm/1h,"4 km/h
raf.11.9",86%,,11.5 °C,1019.5hPa,40 km
4704,2023-07-16 00:00:00,add_circle_outline,"14.8 °C
14.6 → 15.5",,0 mm/1h,"7 km/h
raf.13",81%,,11.6 °C,1019.0hPa,45 km
4705,2023-07-16 23:00:00,add_circle_outline,"15.5 °C
15.5 → 16.9",,0 mm/1h,"11 km/h
raf.15.5",73%,,10.7 °C,1018.6hPa,50 km
4706,2023-07-16 22:00:00,add_circle_outline,"16.9 °C
16.9 → 19.2",,0 mm/1h,"11 km/h
raf.29.9",68%,36 ,11 °C,1018.0hPa,55 km
4707,2023-07-16 21:00:00,add_circle_outline,"19.2 °C
19.1 → 19.4",,0 mm/1h,"18 km/h

raf.30.6",60%,169 ,11.2 °C,1017.6hPa,45 km
4708,2023-07-16 20:00:00,add_circle_outline,"19.2 °C
17.9 → 19.2",,0 mm/1h,"18 km/h

raf.35.6",64%,197 ,12.2 °C,1017.5hPa,22 km
4709,2023-07-16 19:00:00,add_circle_outline,"18.6 °C
18.6 → 20.8",,0 mm/1h,"25 km/h

raf.43.2",64%,161 ,11.7 °C,1017.3hPa,19 km
4710,2023-07-16 18:00:00,add_circle_outline,"20.3 °C
20.3 → 22.3",,0 mm/1h,"18 km/h

raf.43.6",55%,"22

433 ",11 °C,1016.7hPa,27 km
4711,2023-07-16 17:00:00,add_circle_outline,"21.3 °C
21.3 → 22.7",,0 mm/1h,"25 km/h

raf.50.4",48%,"22.5

569 ",9.8 °C,1016.6hPa,26 km
4712,2023-07-16 16:00:00,add_circle_outline,"22.1 °C
20.7 → 22.5",,0 mm/1h,"22 km/h

raf.45",46%,"23.3

711 ",9.9 °C,1016.3hPa,30 km
4713,2023-07-16 15:00:00,add_circle_outline,"21.3 °C
19.3 → 21.9",,0 mm/1h,"22 km/h

raf.39.6",55%,"23.5

619 ",11.9 °C,1016.2hPa,35 km
4714,2023-07-16 14:00:00,add_circle_outline,"19.8 °C
16.8 → 19.9",,0 mm/1h,"22 km/h

raf.39.2",69%,525 ,13.9 °C,1016.4hPa,40 km
4715,2023-07-16 13:00:00,add_circle_outline,"16.7 °C
16.4 → 20.2",,1.4 mm/1h,"11 km/h

raf.38.9",87%,272 ,14.5 °C,1016.5hPa,35 km
4716,2023-07-16 12:00:00,add_circle_outline,"19.9 °C
18.9 → 20",,0 mm/1h,"18 km/h

raf.37.4",59%,342 ,11.6 °C,1015.9hPa,27 km
4717,2023-07-16 11:00:00,add_circle_outline,"19.9 °C
18 → 19.9",,0 mm/1h,"18 km/h
raf.29.2",64%,403 ,12.9 °C,1015.7hPa,17 km
4718,2023-07-16 10:00:00,add_circle_outline,"18.3 °C
16.6 → 18.5",,0 mm/1h,"18 km/h
raf.29.5",71%,286 ,12.9 °C,1015.9hPa,12 km
4719,2023-07-16 09:00:00,add_circle_outline,"16.5 °C
15.6 → 17.1",,0 mm/1h,"14 km/h

raf.31.3",80%,156 ,13 °C,1015.6hPa,15 km
4720,2023-07-16 08:00:00,add_circle_outline,"15.5 °C
14.2 → 15.5",,0 mm/1h,"14 km/h
raf.21.6",84%,64 ,12.8 °C,1014.9hPa,12 km
4721,2023-07-16 07:00:00,add_circle_outline,"14.2 °C
13.7 → 14.2",,0 mm/1h,"11 km/h
raf.22.3",89%,3 ,12.4 °C,1014.5hPa,11 km
4722,2023-07-16 06:00:00,add_circle_outline,"14.1 °C
14.1 → 14.6",,0 mm/1h,"14 km/h
raf.23.8",87%,,12 °C,1013.9hPa,11 km
4723,2023-07-16 05:00:00,add_circle_outline,"14.6 °C
14.5 → 14.8",,0 mm/1h,"18 km/h
raf.27",86%,,12.3 °C,1013.7hPa,12 km
4724,2023-07-16 04:00:00,add_circle_outline,"14.7 °C
14.7 → 14.9",,0 mm/1h,"18 km/h
raf.29.5",85%,,12.2 °C,1013.7hPa,14 km
4725,2023-07-16 03:00:00,add_circle_outline,"15.0 °C
14.8 → 15.1",,0 mm/1h,"18 km/h

raf.31.3",84%,,12.3 °C,1013.6hPa,14 km
4726,2023-07-16 02:00:00,add_circle_outline,"15.1 °C
15 → 15.4",,0 mm/1h,"18 km/h
raf.29.2",83%,,12.2 °C,1013.6hPa,15 km
4727,2023-07-17 01:00:00,add_circle_outline,"13.6 °C
13.6 → 14.8",,0 mm/1h,"7 km/h
raf.11.5",84%,,10.9 °C,"1022hPa

=",45 km
4728,2023-07-17 00:00:00,add_circle_outline,"14.7 °C
14.7 → 16.6",,0 mm/1h,"7 km/h
raf.18",75%,,10.3 °C,1022.3hPa,50 km
4729,2023-07-17 23:00:00,add_circle_outline,"16.6 °C
16.6 → 18.3",,0 mm/1h,"7 km/h
raf.20.5",66%,,10.2 °C,1022.1hPa,55 km
4730,2023-07-17 22:00:00,add_circle_outline,"18.4 °C
18.4 → 20.3",,0 mm/1h,"11 km/h
raf.29.5",61%,33 ,10.7 °C,1021.9hPa,50 km
4731,2023-07-17 21:00:00,add_circle_outline,"20.4 °C
20.4 → 23",,0 mm/1h,"18 km/h

raf.33.8",57%,"22.4

181 ",11.6 °C,1021.6hPa,30 km
4732,2023-07-17 20:00:00,add_circle_outline,"23.1 °C
23.1 → 24.4",,0 mm/1h,"14 km/h
raf.29.5",49%,"25.2

364 ",11.8 °C,1021.1hPa,50 km
4733,2023-07-17 19:00:00,add_circle_outline,"23.3 °C
22.7 → 24.7",,0 mm/1h,"11 km/h
raf.22.7",42%,"24.4

372 ",9.7 °C,1021.0hPa,28 km
4734,2023-07-17 18:00:00,add_circle_outline,"22.7 °C
22.6 → 24.4",,0 mm/1h,"11 km/h
raf.22.3",44%,"23.9

408 ",9.8 °C,1021.3hPa,28 km
4735,2023-07-17 17:00:00,add_circle_outline,"23.5 °C
22.8 → 24.4",,0 mm/1h,"11 km/h
raf.28.4",42%,"24.7

492 ",9.8 °C,1021.4hPa,40 km
4736,2023-07-17 16:00:00,add_circle_outline,"23.8 °C
22.1 → 24",,0 mm/1h,"14 km/h

raf.31",42%,"25.1

858 ",10.1 °C,1021.6hPa,35 km
4737,2023-07-17 15:00:00,add_circle_outline,"22.1 °C
20.9 → 23.3",,0 mm/1h,"7 km/h
raf.25.6",48%,"23.6

656 ",10.6 °C,1021.8hPa,55 km
4738,2023-07-17 14:00:00,add_circle_outline,"20.8 °C
20.7 → 22.5",,0 mm/1h,"11 km/h
raf.29.5",54%,"22.6

442 ",11.1 °C,1022.3hPa,35 km
4739,2023-07-17 13:00:00,add_circle_outline,"21.2 °C
20.1 → 22.3",,0 mm/1h,"14 km/h
raf.26.3",53%,"23

558 ",11.2 °C,1022.3hPa,25 km
4740,2023-07-17 12:00:00,add_circle_outline,"20.4 °C
19.5 → 21.2",,0 mm/1h,"14 km/h

raf.30.6",53%,"21.9

675 ",10.5 °C,1022.1hPa,22 km
4741,2023-07-17 11:00:00,add_circle_outline,"19.8 °C
17.8 → 19.8",,0 mm/1h,"14 km/h
raf.23.4",62%,500 ,12.3 °C,1022.0hPa,24 km
4742,2023-07-17 10:00:00,add_circle_outline,"17.9 °C
16.2 → 17.9",,0 mm/1h,"11 km/h
raf.24.8",72%,361 ,12.8 °C,1021.8hPa,25 km
4743,2023-07-17 09:00:00,add_circle_outline,"16.1 °C
14.2 → 16.2",,0 mm/1h,"11 km/h
raf.19.4",84%,256 ,13.4 °C,1021.4hPa,19 km
4744,2023-07-17 08:00:00,add_circle_outline,"14.2 °C
11.8 → 14.2",,0 mm/1h,"11 km/h
raf.16.6",92%,106 ,12.9 °C,1020.8hPa,24 km
4745,2023-07-17 07:00:00,add_circle_outline,"11.9 °C
11.8 → 12.2",,0 mm/1h,"7 km/h
raf.8.6",97%,6 ,11.4 °C,1020.3hPa,19 km
4746,2023-07-17 06:00:00,add_circle_outline,"12.2 °C
11.9 → 12.6",,0 mm/1h,"7 km/h
raf.11.5",96%,,11.6 °C,1020.1hPa,21 km
4747,2023-07-17 05:00:00,add_circle_outline,"12.5 °C
12.1 → 12.6",,0 mm/1h,"7 km/h
raf.11.2",95%,,11.7 °C,1020.0hPa,20 km
4748,2023-07-17 04:00:00,add_circle_outline,"12.3 °C
12.3 → 13.1",,0 mm/1h,"11 km/h
raf.15.5",94%,,11.4 °C,1019.9hPa,29 km
4749,2023-07-17 03:00:00,add_circle_outline,"13.1 °C
13 → 13.4",,0 mm/1h,"11 km/h
raf.16.2",91%,,11.7 °C,1019.5hPa,30 km
4750,2023-07-17 02:00:00,add_circle_outline,"13.4 °C
13.3 → 13.8",,0 mm/1h,"11 km/h
raf.14.8",88%,,11.5 °C,1019.6hPa,35 km
4751,2023-07-18 01:00:00,add_circle_outline,"15.1 °C
15.1 → 15.5",,0 mm/1h,"7 km/h
raf.9.7",77%,,11.1 °C,1019.3hPa,40 km
4752,2023-07-18 00:00:00,add_circle_outline,"15.6 °C
15.6 → 17.2",,0 mm/1h,"7 km/h
raf.11.5",73%,,10.8 °C,1019.3hPa,50 km
4753,2023-07-18 23:00:00,add_circle_outline,"17.2 °C
17.2 → 18.9",,0 mm/1h,"7 km/h
raf.21.6",68%,,11.2 °C,1018.9hPa,45 km
4754,2023-07-18 22:00:00,add_circle_outline,"18.8 °C
18.8 → 20.8",,0 mm/1h,"14 km/h

raf.32.4",62%,6 ,11.4 °C,1018.2hPa,50 km
4755,2023-07-18 21:00:00,add_circle_outline,"20.9 °C
20.9 → 23.2",,0 mm/1h,"18 km/h

raf.36",60%,"23.5

150 ",12.8 °C,1017.6hPa,30 km
4756,2023-07-18 20:00:00,add_circle_outline,"23.2 °C
23 → 25.2",,0 mm/1h,"18 km/h

raf.37.8",55%,"26.3

303 ",13.7 °C,1016.9hPa,20 km
4757,2023-07-18 19:00:00,add_circle_outline,"25.3 °C
25.2 → 28.8",,0 mm/1h,"25 km/h

raf.43.6",48%,"28.3

483 ",13.5 °C,1016.5hPa,22 km
4758,2023-07-18 18:00:00,add_circle_outline,"28.5 °C
28 → 28.8",,0 mm/1h,"18 km/h
raf.29.5",31%,"29.6

647 ",9.7 °C,1015.9hPa,22 km
4759,2023-07-18 17:00:00,add_circle_outline,"28.4 °C
27.5 → 28.6",,0 mm/1h,"11 km/h

raf.48.2",34%,"30.1

772 ",11 °C,1015.9hPa,26 km
4760,2023-07-18 16:00:00,add_circle_outline,"27.9 °C
27.4 → 28.5",,0 mm/1h,"14 km/h

raf.31.3",36%,"29.8

861 ",11.4 °C,1016.2hPa,28 km
4761,2023-07-18 15:00:00,add_circle_outline,"27.7 °C
26.5 → 28.4",,0 mm/1h,"14 km/h

raf.32",39%,"30.2

836 ",12.5 °C,1016.2hPa,16 km
4762,2023-07-18 14:00:00,add_circle_outline,"27.0 °C
26.3 → 27.3",,0 mm/1h,"7 km/h
raf.25.6",40%,"29.3

878 ",12.2 °C,1016.5hPa,35 km
4763,2023-07-18 13:00:00,add_circle_outline,"26.4 °C
25.3 → 26.5",,0 mm/1h,"11 km/h
raf.25.9",39%,"28.3

836 ",11.3 °C,1017.0hPa,35 km
4764,2023-07-18 12:00:00,add_circle_outline,"25.4 °C
22.5 → 25.5",,0 mm/1h,"7 km/h
raf.19.1",44%,"27.8

711 ",12.3 °C,1017.5hPa,40 km
4765,2023-07-18 11:00:00,add_circle_outline,"22.4 °C
20.4 → 22.7",,0 mm/1h,"7 km/h
raf.23.4",50%,"24.4

556 ",11.5 °C,1017.7hPa,35 km
4766,2023-07-18 10:00:00,add_circle_outline,"20.6 °C
18.5 → 20.6",,0 mm/1h,"7 km/h
raf.17.6",56%,"22.6

414 ",11.5 °C,1018.2hPa,30 km
