,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
35,2024-11-13 13:00:00,add_circle_outline,"9.8 °C
9.7 → 9.9",,0 mm/1h,"18 km/h

raf.31.3",69%,"7.2

86 ",4.4 °C,1032.5hPa,30 km
36,2024-11-13 12:00:00,add_circle_outline,"9.8 °C
9.5 → 9.8",,0 mm/1h,"14 km/h

raf.32",70%,"7.6

64 ",4.6 °C,1032.8hPa,19 km
37,2024-11-13 11:00:00,add_circle_outline,"9.5 °C
9.4 → 9.5",,0 mm/1h,"18 km/h

raf.31.7",70%,"6.9

31 ",4.3 °C,1033.0hPa,30 km
38,2024-11-13 10:00:00,add_circle_outline,"9.5 °C
8.9 → 9.5",,0 mm/1h,"22 km/h

raf.33.5",68%,"6.5

22 ",3.9 °C,1032.9hPa,55 km
39,2024-11-13 09:00:00,add_circle_outline,"8.9 °C
8.8 → 9.2",,0 mm/1h,"11 km/h
raf.20.9",77%,7.1,5.1 °C,1032.4hPa,21 km
40,2024-11-13 08:00:00,add_circle_outline,"9.2 °C
8.7 → 9.3",,0 mm/1h,"14 km/h
raf.29.9",73%,6.9,4.6 °C,1031.7hPa,24 km
41,2024-11-13 07:00:00,add_circle_outline,"8.8 °C
8.7 → 8.8",,0 mm/1h,"7 km/h
raf.18.7",78%,7.7,5.2 °C,1031.5hPa,22 km
42,2024-11-13 06:00:00,add_circle_outline,"8.7 °C
8.7 → 8.8",,0 mm/1h,"11 km/h
raf.22.3",78%,6.9,5.1 °C,1031.2hPa,20 km
43,2024-11-13 05:00:00,add_circle_outline,"8.7 °C
8.6 → 8.8",,0 mm/1h,"14 km/h
raf.29.5",78%,6.3,5.1 °C,"1031.1hPa

=",21 km
44,2024-11-13 04:00:00,add_circle_outline,"8.7 °C
8.5 → 8.7",,0 mm/1h,"14 km/h
raf.29.5",78%,6.3,5.1 °C,1030.9hPa,21 km
45,2024-11-13 03:00:00,add_circle_outline,"8.5 °C
8.5 → 8.6",,0 mm/1h,"18 km/h
raf.28.8",80%,5.6,5.2 °C,1030.9hPa,21 km
46,2024-11-13 02:00:00,add_circle_outline,"8.6 °C
8.4 → 9.5",,0 mm/1h,"14 km/h
raf.28.8",80%,6.2,5.3 °C,1031.1hPa,21 km
47,2024-11-13 01:00:00,add_circle_outline,"9.3 °C
8 → 9.3",,0 mm/1h,"14 km/h

raf.30.6",73%,7,4.7 °C,1030.8hPa,28 km
